seq_id,muni_id,municipal,cal_year,months_rep,total building permit buildings,total building permit units,single family building permits: buildings,single family building permits: units,% building permits for single family units,multi-family building permits: buildings,multi-family building permits: units,% building permits for multi-family units,building permits for multi-family 2 unit buildings,building permits for multi-family 2 units,building permits for multi-family 3-4 unit buildings,building permits for multi-family 3-4 units,building permits for multi-family 5 or more unit buildings,building permits for multi-family 5 or more units, 
seq_id,muni_id,municipal,cal_year,months_rep,tot_b,tot_units,sf_b,sf_units,sf_share_p,mf_b,mf_units,mf_share_p,mf2_b,mf2_units,mf3_4_b,mf3_4units,mf5o_b,mf5ovunits,
35,35,Boston,1980,12,157,1307,55,55,4.21,102,1252,95.79,98,196,0,0,4,1056,
440,35,Boston,1981,12,128,473,69,69,14.59,59,404,85.41,47,94,3,10,9,300,
845,35,Boston,1982,12,9,405,0,0,0,9,405,100,2,4,0,0,7,401,
1250,35,Boston,1983,12,109,507,69,69,13.61,40,438,86.39,23,46,7,21,10,371,
1655,35,Boston,1984,0,439,942,372,372,39.49,67,570,60.51,23,46,26,98,18,426,
2060,35,Boston,1985,0,362,2421,207,207,8.55,155,2214,91.45,33,66,36,128,86,2020,
2465,35,Boston,1986,11,412,2511,206,206,8.2,206,2305,91.8,66,132,43,154,97,2019,
2870,35,Boston,1987,8,313,1728,118,118,6.83,195,1610,93.17,64,128,54,191,77,1291,
3275,35,Boston,1988,9,160,598,95,95,15.89,65,503,84.11,23,46,25,79,17,378,
3680,35,Boston,1989,11,157,519,70,70,13.49,87,449,86.51,44,88,25,77,18,284,
4085,35,Boston,1990,11,126,279,85,85,30.47,41,194,69.53,19,38,12,40,10,116,
4490,35,Boston,1991,8,68,163,44,44,26.99,24,119,73.01,16,32,4,15,4,72,
4895,35,Boston,1992,12,66,100,46,46,46,20,54,54,9,18,11,36,0,0,
5300,35,Boston,1993,9,63,196,42,42,21.43,21,154,78.57,17,34,1,3,3,117,
5705,35,Boston,1994,1,88,262,51,51,19.47,37,211,80.53,17,34,9,27,11,150,
6110,35,Boston,1995,2,72,234,57,57,24.36,15,177,75.64,10,20,2,7,3,150,
6515,35,Boston,1996,2,59,227,46,46,20.26,13,181,79.74,4,8,2,7,7,166,
6920,35,Boston,1997,12,126,249,85,85,34.14,41,164,65.86,31,62,3,11,7,91,
7326,35,Boston,1998,12,144,757,88,88,11.62,56,669,88.38,24,48,14,45,18,576,
7730,35,Boston,1999,12,245,1147,127,127,11.07,118,1020,88.93,61,122,30,94,27,804,
8135,35,Boston,2000,12,175,567,96,96,16.93,79,471,83.07,44,88,12,39,23,344,
8540,35,Boston,2001,12,208,883,78,78,8.83,130,805,91.17,69,138,27,89,34,578,
17850,35,Boston,2024,12,177,1789,72,72,0.04024594746,105,1717,0.9597540525,13,26,31,109,61,1582,